Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Arabsat 6A,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,Not Available,"35,774","35,811",0.01,"1,436.00","6,465",0,"20,000",4/11/2019,15,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,Not Available
Beidou DW 44,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,Not Available,"35,711","35,847",55,1435.7,800,280,0,4/20/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-023A,44204,Not Available
Beidou DW 45,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,Not Available,"35,773","35,799",1.81,1436.06,800,280,0,5/17/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2019-027A,44231,Not Available
Yamal-601,Russia,Gazprom Space Systems,Commercial,Communications,GEO,Not Available,"35,778","35,793",0.03,1436.06,"5,400",0,0,5/30/2019,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton,2019-031A,44307,Not Available
Uguisu,Japan,Kyushu Institute of Technology,Civil,Earth Observation,LEO,Non-Polar Inclined,405,415,51.6,92.7,1,0,0,6/17/2019,1.5,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067QG,44331,Part of Birds-3 program.
UiTMSAT-1 (Birds-2),Malaysia,Universiti Teknologi Mara (UiTM),Civil,Earth Observation,LEO,Non-Polar Inclined,398,408,51.6,92.6,1,0,0,8/10/2018,2,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067PD,43589,"Developed under Birds-2 program of JAXA and Kyushu Institute of Technology, teaching other countries how to development satellite technology."
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,660,662,98,98,97,0,0,7/29/2009,5,Surrey Satellite Technology Ltd. (SSTL),UK,Baikonur Cosmodrome,Dnepr,2009-041C,35683,Part of Disaster Monitoring Constellation second generation; five countries share all data.
UKube-1 (UK Cubesat 1),United Kingdom,UK Space Agency,Government,Technology Development,LEO,Sun-Synchronous,626,631,98.4,97.27,3,0,0,7/8/2014,0,Clyde Space,UK,Baikonur Cosmodrome,Soyuz-2.1b,2014-037F,40074,Technology demonstrator to show how impacts from cosmic particles can be used to increase the security of satellite communications.
UNIFORM 1  (UNiversity International FORmation Mission 1),Japan,Wakayama University (UNIFORM consortium),Civil,Earth Observation,LEO,Sun-Synchronous,622,629,97.87,97.2,50,0,140,5/24/2014,0,Wakayama University and other Japanese universities,Japan,Tanegashima Space Center,H2A,2014-029B,39767,Forest fire monitoring as part of a small constellation.
UNITE (Undergraduate Nano Ionospheric Temperature Explorer),USA,University of Southern Indiana/NASA,Civil,Space Science,LEO,Non-Polar Inclined,403,407,51.6,92.7,5,0,0,1/31/2019,0,University of Southern Indiana/NASA,USA,International Space Station,Nanorack Deployer,1998-067PX,44031,"Main goal of the mission is to measure plasma in the lower ionosphere, a relatively unexplored region of space."
"Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing, QB50 IT02)",Italy,University of Rome,Civil,Earth Science,LEO,Sun-Synchronous,496,512,97.45,94.7,5,0,0,6/23/2017,0,University of Rome - La Sapienza,Italy,Satish Dhawan Space Centre,PSLV,2017-036M,42776,Study lower earth atmosphere.
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,University of Würzburg,Civil,Communications,LEO,Sun-Synchronous,593,700,97.8,97.6,1,0,0,11/21/2013,0,University of Würzburg,Germany,Dombarovsky Air Base,Dnepr,2013-066AG,39446,Amateur radio.
UWE-4 (University of Würzburg Experimental Satellite 4),Germany,University of Würzburg,Civil,Technology Development/Educational,LEO,Sun-Synchronous,572,585,97.7,96.2,2,0,0,12/27/2018,0,University of Würzburg,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-111E,43880,Demonstrate miniaturized electric propulsion system/student education.
AT&T T16,USA,"DirecTV, Inc.",Commercial,Communications,GEO,Not Available,"35,653","36,757",0.02,1436.07,"6,350",0,0,6/20/2019,15,Airbus Defense and Space,France,Guiana Space Center,Ariane 5,2019-034A,44333,DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
Eutelsat 7C,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,678","35,702",0,1436,"3,400",0,0,6/20/2019,15,Maxar Technologies,USA,Guiana Space Center,Ariane 5,2019-034B,44334,All electric. Less fuel load but longer transit time to orbital position.
VDNH-80,Russia,Moscow State University,Civil,Space Science,LEO,Sun-Synchronous,514,545,97.5,95.2,4,0,0,7/5/2019,0,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038G,44392,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
Velox 1,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,Sun-Synchronous,642,655,98.25,97.7,4,0,0,6/30/2014,0,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-CA,2014-034E,40057,Purpose was to give students experience in mounting a satellite building and launch campaign. It carries a high resolution camera for Earth imaging.
Velox 2,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,Equatorial,537,550,14.98,95.48,13,0,0,12/16/2015,0,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077F,41171,"Communications Payload, GPS Experimental Payload and Fault Tolerant Payload."
Velox C1,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,Equatorial,533,550,14.98,95.48,123,0,0,12/16/2015,0,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077A,41166,Microsatellite for research in tropical environmental monitoring using radio occultation techniques.
Venµs,France/Israel,Centre National d'Etudes Spatiales (CNES)/Israel Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,719,724,98.3,99.2,264,0,0,8/1/2017,4.5,Israel Aerospace Industries (IAI),Israel,Guiana Space Center,Vega,2017-044B,42901,"Resolution of 5 meters (16 feet), the spectral richness of the camera in 12 bands, and the third is revisit — two days. USA has 24 percent of mission targets."
Venta-1,Latvia,Ventspils University College,Civil,Technology Development,LEO,Sun-Synchronous,496,508,97.45,94.7,5,0,0,6/23/2017,0,Ventspils High Technology Park/Bremen University of Applied Sciences/OHB Systems,Latvia/Germany,Satish Dhawan Space Centre,PSLV,2017-036AC,42791,Carries AIS receiver.
Beidou DW 46,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,Not Available,"35,739","35,838",55.05,1436.2,800,280,0,6/24/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-035A,44337,Not Available
ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,Elliptical,Not Available,305,851,28.5,96.2,4,0,0,6/25/2019,0,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,2019-036P,44352,See link
"BRICSat-2 (Ballistically Reinforced Communication Satellite, Navy-Oscar-103)",USA,US Naval Academy Satellite Laboratory,Civil,Technology Development,Elliptical,Not Available,300,847,28.5,96.1,6,0,0,6/25/2019,0,US Naval Academy Satellite Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036S,44355,Sister cubesat to Psat-2.  Thruster experiment to see if it can maneuver to better separate from PSAT2 to provide better dual coverage for users.
DSX (Demonstration and Science Experiments),USA,Air Force Research Laboratory,Military,Technology Development,MEO,Not Available,"6,004","12,034",42.21,316.9,600,0,0,6/25/2019,1,Air Force Research Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036F,44344,Research technologies needed to significantly advance Department of Defense (DoD) capabilities to operate spacecraft in the harsh radiation environment of MEO (Medium-Earth Orbits).
VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite),Vietnam,Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Government,Earth Observation,LEO,Sun-Synchronous,682,685,98.13,98.43,115,0,0,5/7/2013,5,EADS Astrium,France,Guiana Space Center,Vega,2013-021B,39160,"Better monitor and study the effects of climate change, predict and take measures to prevent natural disasters, and optimize the management of its natural resources."
"VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda)",Venezuela,Bolivarian Agency for Space Activities,Government,Earth Observation,LEO,Sun-Synchronous,622,654,98.03,97.48,880,0,0,9/28/2012,5,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2012-052A,38782,"Sensors can resolve objects 2.5 meters across. Will return 350 images per day for urban planning, monitor illegal mining and drug activities, national defense."
VRSS-2 (Antonio Jose de Sucre),Venezuela,Bolivarian Agency for Space Activities,Government,Earth Observation ,LEO,Sun-Synchronous,629,654,98.02,97.55,"1,000",0,0,10/9/2017,5,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-060A,42954,Second earth observing satellite for Venezuela. Cooperative agreement with China.
VZLUSat-1 (QB50 CZ02),Czech Republic,Czech Aerospace Research Center (VZLU),Government,Technology Development,LEO,Sun-Synchronous,497,515,97.45,94.7,3,0,0,6/23/2017,0,Czech Aerospace Research Center (VZLU) and partners,Czech Republic,Satish Dhawan Space Centre,PSLV,2017-036AB,42790,"Primary objective of the project VZLUSAT-1 is the development, manufacturing, qualification and experimental verification of products and technologies on Earth orbit. "
Weina-1A,China,Shanghai Micro Satellite Engineering Center,Government,Technology Development,LEO,Non-Polar Inclined,594,601,35,96.3,1,0,0,1/25/2018,0,Shanghai Micro Satellite Engineering Center,China,Xichang Satellite Launch Center,Long March 2C,2018-011A,43169,Unknown purpose.
E-TBEx A (Enhanced Tandem Beacon Experiment),USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,Elliptical,Not Available,298,845,28.5,96.1,4,0,0,6/25/2019,0,SRI International,USA,Cape Canaveral,Falcon Heavy,2019-036K,44348,Gather atmospheric data and study how space weather impacts our communication and navigation systems. 
E-TBEx B (Enhanced Tandem Beacon Experiment),USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,Elliptical,Not Available,305,846,28.5,96.1,4,0,0,6/25/2019,0,SRI International,USA,Cape Canaveral,Falcon Heavy,2019-036W,44359,Not Available
Falconsat-7,USA,US Air Force Academy,Military/Civil,Technology Development,Elliptical,Not Available,305,850,28.5,96.2,5,0,0,6/25/2019,0,US Air Force Academy,USA,Cape Canaveral,Falcon Heavy,2019-036J,44347,"3U CubeSat solar observatory in LEO (Low Earth Orbit), first spaceborne membrane telescope."
LEO CP9 (Launch Environment Observer),USA,California Polytechnic State University,Civil,Technology Development,Elliptical,Not Available,301,846,28.5,96.1,6,0,0,6/25/2019,0,California Polytechnic State University,USA,Cape Canaveral,Falcon Heavy,2019-036X,44360,Not Available
Oculus ASR,USA,Michigan Technological University/Air Force Research Laboratory,Military,Technology Development,Elliptical,Not Available,306,853,28.5,96.2,70,0,0,6/25/2019,0,Michigan Technological University/Air Force Research Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036T,44356,Will serve as a cooperative imaging target for ground-based telescopes. Ground controllers at MTU will command the vehicle to perform various attitude maneuvers during overflights of these telescopes.
ParkinsonSat-2 (Navy-Oscar-104),USA,US Naval Academy,Military,Technology Development,Elliptical,Not Available,306,848,28.5,96.2,6,0,0,6/25/2019,0,US Naval Academy,USA,Cape Canaveral,Falcon Heavy,2019-036R,44354,"Employs a two-way communications transponder to relay remote telemetry, sensor and user data from remote environmental experiments (in the ground segment) or other data sources back to experimenters via a global network of Internet linked volunteer ground stations."
Blagovest-14L (Cosmos 2539),Russia,Ministry of Defense,Military/Commercial,Communications,GEO,Not Available,"35,599","35,829",0,"1,436","3,000",0,0,8/5/2019,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,2019-048A,44457,Not Available
Amos 17,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,Not Available,"35,777","35,793",0,1436.04,"6,500",0,0,8/6/2019,20,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Replaces Amos 5 which failed in 2015.
EDRS-C (European Data Relay System-C),ESA,Airbus,Commercial,Communications,GEO,Not Available,"35,782","35,790",0,1436.07,"3,186",0,0,8/6/2019,0,OHB Germany,Germany,Guiana Space Center,Ariane 5,2019-049A,44475,Second of four planned platforms.
Intelsat 39,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,784","35,788",0,1436.08,"6,600",0,0,8/6/2019,15,Maxar Technologies,USA,Guiana Space Center,Ariane 5,2019-049B,44476,"Key customers are the Myanmar Ministry of Transport and Communications, as well as U.S. government users."
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,780","35,810",6.4,1436.2,"6,169",0,0,8/8/2019,0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,Not Available
WNISat-1 (Weather News Inc. Satellite 1),Japan,"Weathernews, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,594,849,97.8,99.2,10,0,0,11/21/2013,2,Axelspace,Japan,Dombarovsky Air Base,Dnepr,2013-066H,39423,Provide data to shipping lines who are interested in the Arctic Sea ice state.
WNISat-1R (Weather News Inc. Satellite 1R),Japan,"Weathernews, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,586,606,97.6,96.6,43,0,0,7/14/2017,0,Axelspace,Japan,Baikonur Cosmodrome,Soyuz 2.1a,2017-042L,42835,Collecting monitoring data for shipping lane customers operating in the Arctic Sea.
Worldview 1,USA,Maxar Technologies Inc.,Commercial,Earth Observation,LEO,Sun-Synchronous,491,494,97.3,94.5,"4,500",0,"3,200",9/18/2007,7.25,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2007-041A,32060,Provides earth imaging in eight color bands.
Worldview 2,USA,Maxar Technologies Inc.,Commercial,Earth Observation,LEO,Sun-Synchronous,765,767,98.5,100.2,"2,800",0,0,10/8/2009,0,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2009-055A,35946,Will provide earth imaging  in eight color bands; 0.5 m resolution for panchromatic images and 1.8 m for multi-spectral.
Worldview 3,USA,Maxar Technologies Inc.,Commercial,Earth Observation,LEO,Sun-Synchronous,612,614,97.99,96.96,"2,800",0,"3,100",8/13/2014,12,Ball Aerospace,USA,Vandenberg AFB,Atlas 5,2014-048A,40115,"WorldView-3 provides 31 cm panchromatic resolution, 1.24 m MS (Multispectral) resolution, 3.7 m SWIR (Short-Wave Infrared) resolution, and 30 m CAVIS ( Clouds, Aerosols, Vapors, Ice, and Snow) resolution."
Xiaoxiang 1-04 ,China,Spacety Aerospace Co.,Commercial,Technology Development,LEO,Non-Polar Inclined,556,575,45,96,8,0,0,6/5/2019,0,Spacety Aerospace Co.,China,Yellow Sea Launch Platform,Long March 11,2019-032D,44313,Earth imaging technology development.
Xiaoxiang 1-07 ,China,Spacety Aerospace Co.,Commercial,Technology Development,LEO,Sun-Synchronous,592,607,97.7,96.7,10,0,0,8/30/2019,0,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-058A,44519,Not Available
Xingshidai 5,China,Chengdu Guoxing Aerospace Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,529,560,97.6,95.5,10,0,0,8/17/2019,0,MinoSpace Technology,China,Jiuquan Satellite Launch Center,Jielong 1,2019-052C,44488,Not Available
Xinyan 1 (XY-1),China,DFH Satellite Co. Ltd.,Government,Technology Development,LEO,Sun-Synchronous,489,501,97.35,94.51,0,0,0,11/18/2012,0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064C,38999,Not Available
XJS-A (New Technology Test Satellite-A),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,477,486,35,94.23,0,0,0,6/27/2018,0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-054A,43518,Unknown operator. Will conduct tests of inter-satellite networking links and Earth observation technology.
XJS-B (New Technology Test Satellite-B),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,477,486,35,94.23,0,0,0,6/27/2018,0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-054B,43519,Unknown operator. Will conduct tests of inter-satellite networking links and Earth observation technology.
XJS-C (New Technology Test Satellite-C),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,476,483,35.01,94.19,0,0,0,2/19/2020,0,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 2D,2020-014A,45249,Not Available
XJS-D (New Technology Test Satellite-D),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,476,481,35.01,94.19,0,0,0,2/19/2020,0,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 2D,2020-014B,45250,Not Available
XJS-E (New Technology Test Satellite-E),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,474,483,35.01,94.17,0,0,0,2/19/2020,0,Harbin Institute of Technology/DFH Satellite Co. Ltd.,China,Xichang Satellite Launch Center,Long March 2D,2020-014C,45251,Not Available
XJS-F (New Technology Test Satellite-F),China,Unknown,Government,Technology Development,LEO,Non-Polar Inclined,475,481,35.01,94.16,0,0,0,2/19/2020,0,Harbin Institute of Technology/DFH Satellite Co. Ltd.,China,Xichang Satellite Launch Center,Long March 2D,2020-014D,45252,Not Available
TDO,USA,US Air Force,Military,Technology Development,Elliptical,Not Available,216,"35,224",25.9,620.2,20,0,0,8/8/2019,0,Unknown,USA,Cape Canaveral,Atlas 5,2019-051B,44482,"""Testing orbital debris tracking capabilities."""
Beidou 3M1 (Beidou 23),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,Not Available,"21,509","21,561",55,773.2,800,280,0,9/22/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061A,44542,Not Available
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,European Space Operations Centre (ESOC),Government,Space Science,Elliptical,Deep Highly Eccentric,"7,079","114,027",38.4,"2,872.15","3,764","3,233",0,12/10/1999,10,Dornier Systems (and 46 subcontractors),International,Guiana Space Center,Ariane 5,1999-066A,25989,Detect and study celestial x-ray sources.
XPNav-1,China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,LEO,Sun-Synchronous,493,513,97.4,94.68,240,0,0,11/9/2016,0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Long March 11,2016-066A,41841,Experimental pulsar navigation mission carries two sensors tuned to pick up incoming X-rays from objects scattered across the galaxy
X-Sat,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,LEO,Sun-Synchronous,801,823,98.7,101.1,91,0,175,4/20/2011,3,Centre for Research in Satellite Technology (CREST),Singapore,Satish Dhawan Space Centre,PSLV C16,2011-015C,37389,"Signapore's first national satellite; multi-spectral camera, will demonstrate space-based remote sensing and image processing technologies."
Beidou 3M1 (Beidou 24),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,Not Available,"21,515","21,554",55,773.2,800,280,0,9/22/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061B,44543,Not Available
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China,DFH Satellite Co. Ltd./AMSAT-China,Civil,Communications,LEO,Sun-Synchronous,"1,193","1,205",100.3,109.4,60,0,0,12/15/2009,0,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4C,2009-072B,36122,China's first amateur satellite.
XW-2A (CAS-3A),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,Sun-Synchronous,518,535,97.46,95.17,25,0,0,9/19/2015,0,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049E,40903,Amateur radio.
XW-2B (CAS-3B),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,Sun-Synchronous,520,539,97.46,95.22,10,0,0,9/19/2015,0,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049N,40911,Amateur radio.
XW-2C (CAS-3C),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,Sun-Synchronous,519,538,97.46,95.21,10,0,0,9/19/2015,0,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049H,40906,Amateur radio.
XW-2D (CAS-3D),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,Sun-Synchronous,520,539,97.46,95.22,10,0,0,9/19/2015,0,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049J,40907,Amateur radio.
XW-2F (CAS-3F),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,Sun-Synchronous,520,540,97.46,95.23,2,0,0,9/19/2015,0,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049M,40910,Amateur radio.
XY-S1 (Xingyun Shiyan-1),China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,LEO,Sun-Synchronous,529,541,97.54,95.33,2,0,0,1/9/2017,0,Ninth Academy of CASIC,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002A,41913,Test technologies of low-orbit narrow-band communication and VHF Data Exchange System (VDES)
Eutelsat 5 West B,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,783","35,787",0.06,1436.01,"2,864",0,0,10/9/2019,15,Northrup Grumman Innovation Systems,USA,Baikonur Cosmodrome,Proton,2019-067A,44624,"Also hosts a geostationary orbit node for the European Geostationary Navigation Overlay System, or EGNOS, to beam GPS and Galileo navigation augmentation signals to improve position accuracy and reliability."
MEV-1 (Mission Extension Vehicle-1) ,USA,Space Logistics LLC,Commercial,Mission Extension Technology,GEO,Not Available,"36,000","36,000",1.5,"1,450.10",0,0,0,10/9/2019,0,Northrup Grumman Innovation Systems,USA,Baikonur Cosmodrome,Proton,2019-067B,44625,Will dock with the Intelsat 901 communications satellite and provide propulsion and attitude control functions to extend the spacecraft’s mission.
TJS-4 (Tongxin Jishu Shiyan 4),China,China Academy of Space Technology (CAST),Government,Technology Development,GEO,Not Available,"35,761","35,813",0.02,1436.1,0,0,0,10/18/2019,0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2019-070A,44637,Suspected by western analysts to be a satellite for collecting signals intelligence.
Beidou DW 50,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,Not Available,"21,542","22,194",54.9,787.4,800,280,0,11/23/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-078A,44793,Not Available
Beidou DW 51,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,Not Available,"21,537","22,192",54.9,787.2,800,280,0,11/23/2019,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-078B,44794,Not Available
INMARSAT 5 F5,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,672","35,686",0.08,1430,"4,007",0,0,11/26/2019,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2019-080B,44801,Not Available
TIBA-1,Egypt,Ministry of Defense,Military/Commercial,Communications,GEO,Not Available,"35,732","35,790",0.07,1434.8,"5,600",0,0,11/26/2019,15,Airbus Defense and Space/Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2019-080A,44800,Egypt's first dedicated military communications satellite.
Yaogan 10 (Remote Sensing Satellite 10),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,625,628,97.8,97.2,0,0,0,8/9/2010,0,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2010-038A,36834,Carries Synthetic Aperture Radar (SAR) sensor
Yaogan 11 (Remote Sensing Satellite 11),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,626,668,97.9,97.7,0,0,0,9/22/2010,0,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-047A,37165,Not Available
Yaogan 12 (Remote Sensing Satellite 12),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,487,496,97.4,94.4,0,0,0,11/9/2011,0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-066B,37875,Not Available
Yaogan 13 (Remote Sensing Satellite 13),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,506,507,97.4,94.8,0,0,0,11/29/2011,0,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2011-072A,37941,Not Available
Yaogan 14 (Remote Sensing Satellite 14),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,469,481,97.3,94.1,0,0,0,5/10/2012,0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2012-021A,38257,Carries Synthetic Aperture Radar (SAR) sensor
Yaogan 15 (Remote Sensing Satellite 15),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Polar,"1,201","1,207",100.2,109.5,"1,040",0,0,5/29/2012,0,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2012-029A,38354, Optical  imaging  satellites with medium resolution (3 to  10 m) capabilities
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,"1,080","1,089",63.38,106.93,0,0,0,11/25/2012,0,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066A,39011,Equivalent of U.S. NOSS system - three satellite cluster
Yaogan 16B (Remote Sensing Satellite 16B),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,"1,079","1,090",63.38,106.93,0,0,0,11/25/2012,0,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066B,39012,Not Available
Yaogan 16C (Remote Sensing Satlelite 16C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,"1,032","1,081",63.38,106.33,0,0,0,11/25/2012,0,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066C,39013,Not Available
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,"1,076","1,111",63.41,107.12,0,0,0,9/1/2013,0,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046A,39239,Equivalent of U.S. NOSS system - three satellite cluster
Yaogan 17B (Remote Sensing Satellite 17B),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,"1,080","1,111",63.42,107.13,0,0,0,9/1/2013,0,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046B,39240,Not Available
Yaogan 17C (Remote Sensing Satellite 17C),China,People's Liberation Army (C41),Military,Earth Observation,LEO,Non-Polar Inclined,890,"1,112",63.47,105.14,0,0,0,9/1/2013,0,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046C,39241,Not Available
