Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Luch 5V,Russia,Russian Federal Space Agency,Government,Communications,GEO,Not Available,"35,767","35,802",4.76,1435.99,"1,148",950,"2,200",4/28/2014,10,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS."
"SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,GEO,Not Available,"35,500","35,500",4,1436.1,0,0,0,5/22/2014,0,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751,Real-time data relay from reconnissance satellites.
Eutelsat 3B,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,782","35,791",0.07,1436.1,"5,967",0,0,5/26/2014,15,Airbus Defense and Space,France,Sea Launch Odyssey,Zenit 3SL,2014-030A,39773,51 transponders. Replaces Eutelsat 3D at 3 East.
"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)",USA,Air Force Satellite Control Network,Military,Space Observation,GEO,Not Available,"35,741","35,784",0.09,1434.9,0,600,0,7/28/2014,0,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043A,40099,Space surveillance of satellites in GEO.
"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)",USA,Air Force Satellite Control Network,Military,Space Observation,GEO,Not Available,"35,758","35,795",0.06,1435.6,0,600,0,7/28/2014,0,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043B,40100,Space surveillance of satellites in GEO.
IRS-P6 (Resourcesat-1) ,India,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,817,823,98.8,101.3,"1,360",0,"1,200",10/17/2003,5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051,"Monitor agricultural, land, and water resources."
Irvine-1,USA,Irvine Public Schools Foundation,Civil,Technology Development,LEO,Polar,493,506,85,95,2,0,0,11/11/2018,0,"Irvine, CA and Tustin-CA student-built",USA,Rocket Lab Launch Complex 1,Electron,2018-088D,43693,Student built.
iSat (D-Star ONE iSat),Czech Republic,iSky Technology,Commercial,Communications,LEO,Sun-Synchronous,571,586,97.7,96.2,4,0,0,12/27/2018,0,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-111D,43879,Carries an ADS-B receiver to track aircraft positions.
"ISX (Ionospheric Scintillation Explorer, CP-11)",USA,NASA/CalPoly,Government/Civil,Space Science,LEO,Polar,489,510,85.03,94.6,4,0,0,12/16/2018,0,SRI International/CalPoly,USA,Rocket Lab Launch Complex 1,Electron,2018-104H,43856,ISX will study plasma irregularities in the upper atmosphere by measuring its affect on digital TV signals produced on the ground.
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,LEO,Sun-Synchronous,710,721,98.4,99.1,1,0,0,9/23/2009,1,ITU Space Systems Design & Test Laboratory,Turkey,Satish Dhawan Space Centre,PSLV,2009-051E,35935,"Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of ?TÜ Astronautics Department."
JAISAT-1,Thailand,Radio Amateur Society of Thailand (RAST),Civil,Communications,LEO,Sun-Synchronous,514,547,97.5,95.2,1,0,0,7/5/2019,0,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038F,44419,Amateur radio for Thailand.
Jason 3,USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,LEO,Non-Polar Inclined,"1,301","1,324",66,111.8,553,510,500,1/17/2016,5,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240,Monitor sea surface level and wave heights.
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,Not Available,"35,781","35,793",0.07,1436.1,"4,500",0,"8,500",8/5/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.
AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,Not Available,"35,783","35,793",0.07,1436.17,"3,700",0,0,9/7/2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
