Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
45,AIST-2,2013-04-19,Russia,Baikonur Cosmodrome,"Samara State Aerospace University, SGAU",Technology Development,LEO,1.6,96.06,53
46,AIST-2D,2016-04-27,Russia,Vostochny Cosmodrome,"Samara State Aerospace University, SGAU",Technology Development,LEO,1.57,94.18,531
47,AISTechSat-2,2018-12-03,Spain,Vandenberg AFB,AISTech,Earth Observation,LEO,1.61,96.4,3
48,AISTechSat-3,2019-04-01,Spain,Satish Dhawan Space Centre,AISTech,Earth Observation,LEO,1.58,94.6,2
49,"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",1997-02-16,USA,Cape Canaveral,Intelsat S.A.,Communications,GEO,23.94,1436.1,"3,124"
50,DSP 18 (USA 130) (Defense Support Program),1997-02-23,USA,Cape Canaveral,US Air Force,Earth Observation,GEO,23.94,1436.27,"2,380"
51,ALE-2 (Astro Live Experiences-2),2019-12-06,Japan,Rocket Lab Launch Complex 1,Astro Live Experiences,Earth Science,LEO,1.53,92.06,75
52,Al-Farabi-2,2018-12-03,Kazakhstan,Vandenberg AFB,Al-Farabi Kazakh National University,Technology Development,LEO,1.6,96.2,4
53,ALiCE  (AFIT LEO iMESA CNT E),2013-12-06,USA,Vandenberg AFB,US Air Force Institute of Technology,Technology Development,LEO,1.63,98.0,5
54,Alsat 2B,2016-09-26,Algeria,Satish Dhawan Space Centre,Algerian Space Agency (ASAL),Earth Observation,LEO,1.63,97.7,117
55,Alsat-1B,2016-09-26,Algeria,Satish Dhawan Space Centre,Algerian Space Agency (ASAL),Earth Observation,LEO,1.64,98.4,103
56,AlSat-1N,2016-09-26,Algeria,Satish Dhawan Space Centre,Algerian Space Agency (ASAL)/UK Space Agency,Technology Development,LEO,1.64,98.3,10
57,Alsat-2A (Algeria Satellite 2A),2010-07-12,Algeria,Satish Dhawan Space Centre,Algerian Space Agency (ASAL),Earth Observation,LEO,1.64,98.2,130
58,"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",1997-05-24,USA,Baikonur Cosmodrome,Intelsat S.A. ,Communications,GEO,23.93,1436.08,"3,515"
59,"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",1997-08-28,USA,Baikonur Cosmodrome,Intelsat S.A.,Communications,GEO,23.93,1436.09,"2,730"
