Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
1946,"SOHLA 1 (Space Oriented Higashiosaka Leading Association, Maido 1)",2009-01-23,Japan,Tanegashima Space Center,Astrotech SOHLA,Technology Development,LEO,1.63,98.0,50
1947,SOKRAT,2019-07-05,Russia,Vostochny Cosmodrome,Moscow State University,Space Science,LEO,1.59,95.2,4
1948,SONATE (SOlutus NAno satteliTE),2019-07-05,Germany,Vostochny Cosmodrome,University of Wuerzburg,Technology Development,LEO,1.59,95.2,1
1949,SORCE (SOlar Radiation and Climate Experiment),2003-01-25,USA,Cape Canaveral,"National Aeronautics and Space Administration (NASA) Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado",Space Science,LEO,1.62,97.0,315
1950,Koreasat 5A (Mugungwha 5A),2017-10-30,South Korea,Cape Canaveral,KT Corporation,Communications,GEO,23.93,1436.0,"3,700"
1951,SpaceBEE-1,2018-01-11,USA,Satish Dhawan Space Centre,Swarm Technologies,Communications,LEO,1.58,94.5,1
1952,SpaceBEE-2,2018-01-11,USA,Satish Dhawan Space Centre,Swarm Technologies,Communications,LEO,1.58,94.5,1
1953,SpaceBEE-3,2018-01-11,USA,Satish Dhawan Space Centre,Swarm Technologies,Communications,LEO,1.58,94.5,1
1954,SpaceBEE-4,2018-01-11,USA,Satish Dhawan Space Centre,Swarm Technologies,Communications,LEO,1.58,94.5,1
1955,SpaceBEE-5,2018-12-03,USA,Vandenberg AFB,Swarm Technologies,Communications,LEO,1.6,96.3,2
1956,SpaceBEE-6,2018-12-03,USA,Vandenberg AFB,Swarm Technologies,Communications,LEO,1.6,96.3,2
1957,SpaceBEE-7,2018-12-03,USA,Vandenberg AFB,Swarm Technologies,Communications,LEO,1.6,96.3,2
1958,SpaceBEE-8,2019-06-29,USA,Rocket Lab Launch Complex 1,Swarm Technologies,Communications,LEO,1.56,93.6,2
1959,SpaceBEE-9,2019-06-29,USA,Rocket Lab Launch Complex 1,Swarm Technologies,Communications,LEO,1.56,93.6,2
1960,Beidou 3M1 ,2017-11-05,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,MEO,12.89,773.2,800
1961,Beidou 3M1 (Beidou 25),2017-11-05,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,MEO,12.89,773.2,800
1962,Buccaneer RMM,2017-11-18,Australia,Vandenberg AFB,Defence Science and Technology Group/University of New South Wales,Technology Development,LEO,1.62,97.4,4
1963,SPARC-1 (Space Plug and Play Architecture Research CubeSat-1),2019-05-05,USA/Sweden,Rocket Lab Launch Complex 1,Air Force Research Laboratory (AFRL)/Swedish Defense Materiel Administration,Technology Development,LEO,1.58,94.7,8
1964,Spark-1,2016-12-21,China,Jiuquan Satellite Launch Center,Shanghai Engineering Center for Microsatellites,Earth Observation,LEO,1.65,98.94,50
1965,Spark-2,2016-12-21,China,Jiuquan Satellite Launch Center,Shanghai Engineering Center for Microsatellites,Earth Observation,LEO,1.65,98.96,50
1966,SPATIUM-I,2018-10-06,Japan/Singapore,International Space Station,Kyushu Institute of Technology (Kyutech)/Nanyang Technological University (NTU),Technology Development,LEO,1.54,92.6,3
1967,Spektr-R/RadioAstron,2011-07-18,Multinational,Baikonur Cosmodrome,Astro Space Center of Moscow/Russian Academy of Sciences,Space Science,Elliptical,192.0,11520.0,"3,660"
1968,Alcomsat (Algerian Communications Satellite),2017-12-10,Algeria,Xichang Satellite Launch Center,Algerian Space Agency (ASAL),Communications,GEO,23.94,1436.1,"5,225"
1969,Beidou DW 26,2018-01-11,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,MEO,12.89,773.2,800
1970,SpooQy-1,2019-06-17,Singapore,International Space Station,National University of Singapore,Space Science,LEO,1.55,92.7,4
1971,Spot 6 (Système Probatoire dObservation de la Terre),2012-09-09,France/Belgium/Sweden,Satish Dhawan Space Centre,Spot Image,Earth Observation,LEO,1.65,98.73,720
1972,Spot 7 (Système Probatoire dObservation de la Terre),2014-06-30,France/Belgium/Sweden,Satish Dhawan Space Centre,Spot Image,Earth Observation,LEO,1.63,97.77,714
1973,SPROUT  (SPace Research On Unique Technology),2014-05-24,Japan,Tanegashima Space Center,Nihon University,Technology Development,LEO,1.62,97.13,7
1974,SRMSat (Sri Ramaswamy Memorial Satellite),2011-10-12,India,Satish Dhawan Space Centre,SRM University,Technology Development,LEO,1.7,102.1,11
1975,SRSS-1 (Sudan Remote Sensing Satellite 1),2019-11-03,Sudan,Taiyuan Launch Center,Government of Sudan,Earth Observation,LEO,1.58,94.5,50
1976,SSOT (Sistema Satelital para la Observación de la Tierra),2011-12-17,Chile,Guiana Space Center,Chilean Air Force,Earth Observation,LEO,1.62,97.2,117
1977,SSTL-S1-4 ,2018-09-16,United Kingdom,Satish Dhawan Space Centre,Surrey Satellite Technology Ltd.,Earth Observation,LEO,1.6,96.3,440
1978,Beidou DW 27,2018-01-11,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,MEO,12.89,773.2,800
1979,"SBIRS GEO 4 (Space Based Infrared System Geosynchronous 4, USA 282)",2018-01-19,USA,Cape Canaveral,US Air Force,Earth Observation,GEO,23.94,1436.1,"4,500"
1980,Al Yah-3,2018-01-25,United Arab Emirates,Guiana Space Center,Al Yah Satellite Communications Co. (YAHSAT),Communications,GEO,23.93,1436.0,"3,795"
1981,SES-14,2018-01-25,Luxembourg,Guiana Space Center,SES S.A.,Communications,GEO,23.93,1436.0,"4,423"
1982,GovSat-1 (SES-16),2018-01-31,Luxembourg,Cape Canaveral,LuxGovSat,Communications,GEO,23.94,1436.1,"4,230"
1983,Beidou DW 28,2018-02-12,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,MEO,12.89,773.2,800
1984,Starlilnk-1240,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.3,227
1985,"StarLink Demo 1 (Microsat-2a, Tintin-A)",2018-02-22,USA,Vandenberg AFB,SpaceX,Communications,LEO,1.58,94.7,20
1986,StarLink Demo 2 (Microsat-2b Tintin-B),2018-02-22,USA,Vandenberg AFB,SpaceX,Communications,LEO,1.58,94.7,20
1987,Starlink-1007,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,95.9,227
1988,Starlink-1008,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1989,Starlink-1009,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.5,227
1990,Starlink-1010,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.3,227
1991,Starlink-1011,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1992,Starlink-1012,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1993,Starlink-1013,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1994,Starlink-1014,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.58,94.6,227
1995,Starlink-1015,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1996,Starlink-1016,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1997,Starlink-1017,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1998,Starlink-1019,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
1999,Starlink-1020,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2000,Starlink-1021,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2001,Starlink-1022,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2002,Starlink-1023,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,95.8,227
2003,Starlink-1024,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2004,Starlink-1025,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2005,Starlink-1026,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2006,Starlink-1027,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,96.0,227
2007,Starlink-1028,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2008,Starlink-1029,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.54,92.3,227
2009,Starlink-1030,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2010,Starlink-1031,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,95.7,227
2011,Starlink-1032,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2012,Starlink-1033,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2013,Starlink-1034,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2014,Starlink-1035,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,96.0,227
2015,Starlink-1036,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2016,Starlink-1037,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2017,Starlink-1038,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2018,Starlink-1039,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2019,Starlink-1040,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,90.9,227
2020,Starlink-1041,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2021,Starlink-1042,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2022,Starlink-1043,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2023,Starlink-1044,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2024,Starlink-1045,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2025,Starlink-1046,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2026,Starlink-1047,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.6,95.7,227
2027,Starlink-1048,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2028,Starlink-1049,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2029,Starlink-1050,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2030,Starlink-1051,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2031,Starlink-1052,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2032,Starlink-1053,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2033,Starlink-1054,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2034,Starlink-1055,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2035,Starlink-1056,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2036,Starlink-1057,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2037,Starlink-1058,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2038,Starlink-1059,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2039,Starlink-1060,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2040,Starlink-1061,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2041,Starlink-1062,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2042,Starlink-1063,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2043,Starlink-1064,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2044,Starlink-1065,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2045,Starlink-1066,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2046,Starlink-1067,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2047,Starlink-1068,2019-11-11,USA,Cape Canaveral,SpaceX,Communications,LEO,1.59,95.6,227
2048,Starlink-1069,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2049,Starlink-1070,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2050,Starlink-1071,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2051,Starlink-1072,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2052,Starlink-1073,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2053,Starlink-1074,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2054,Starlink-1075,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2055,Starlink-1076,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2056,Starlink-1077,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2057,Starlink-1078,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2058,Starlink-1079,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2059,Starlink-1080,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2060,Starlink-1081,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2061,Starlink-1082,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2062,Starlink-1083,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2063,Starlink-1084,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2064,Starlink-1085,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2065,Starlink-1086,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2066,Starlink-1087,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2067,Starlink-1088,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2068,Starlink-1089,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2069,Starlink-1091,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2070,Starlink-1092,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.3,227
2071,Starlink-1093,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2072,Starlink-1094,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2073,Starlink-1095,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2074,Starlink-1096,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2075,Starlink-1097,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2076,Starlink-1098,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2077,Starlink-1099,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2078,Starlink-1100,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2079,Starlink-1101,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2080,Starlink-1102,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2081,Starlink-1103,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2082,Starlink-1104,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2083,Starlink-1105,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2084,Starlink-1106,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2085,Starlink-1107,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2086,Starlink-1108,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2087,Starlink-1109,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2088,Starlink-1110,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2089,Starlink-1111,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2090,Starlink-1112,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2091,Starlink-1113,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2092,Starlink-1114,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2093,Starlink-1115,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2094,Starlink-1116,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2095,Starlink-1117,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2096,Starlink-1118,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2097,Starlink-1119,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2098,Starlink-1120,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2099,Starlink-1121,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2100,Starlink-1122,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2101,Starlink-1123,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2102,Starlink-1124,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2103,Starlink-1125,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2104,Starlink-1126,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.6,227
2105,Starlink-1127,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2106,Starlink-1128,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2107,Starlink-1129,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2108,Starlink-1130 (Darksat),2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2109,Starlink-1131,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2110,Starlink-1132 ,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2111,Starlink-1133,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2112,Starlink-1134,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2113,Starlink-1135,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2114,Starlink-1136,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2115,Starlink-1137,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2116,Starlink-1138,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2117,Starlink-1139,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2118,Starlink-1140,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2119,Starlink-1141,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2120,Starlink-1142,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2121,Starlink-1143,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2122,Starlink-1144,2020-01-07,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.4,227
2123,Starlink-1145,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2124,Starlink-1146,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2125,Starlink-1147,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2126,Starlink-1148,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2127,Starlink-1149,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2128,Starlink-1150,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2129,Starlink-1151,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2130,Starlink-1152,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2131,Starlink-1153,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2132,Starlink-1154,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2133,Starlink-1155,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2134,Starlink-1156,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2135,Starlink-1157,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2136,Starlink-1158,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2137,Starlink-1159,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2138,Starlink-1160,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2139,Starlink-1161,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2140,Starlink-1162,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2141,Starlink-1163,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2142,Starlink-1164,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2143,Starlink-1165,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2144,Starlink-1166,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2145,Starlink-1167,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2146,Starlink-1168,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2147,Starlink-1169,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2148,Starlink-1170,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2149,Starlink-1171,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2150,Starlink-1172,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2151,Starlink-1173,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2152,Starlink-1174,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2153,Starlink-1175,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2154,Starlink-1176,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2155,Starlink-1177,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2156,Starlink-1178,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2157,Starlink-1179,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2158,Starlink-1180,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2159,Starlink-1181,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2160,Starlink-1182,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2161,Starlink-1183,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2162,Starlink-1184,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2163,Starlink-1185,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2164,Starlink-1186,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2165,Starlink-1187,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.3,227
2166,Starlink-1188,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2167,Starlink-1189,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.2,227
2168,Starlink-1190,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2169,Starlink-1191,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2170,Starlink-1192,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2171,Starlink-1193,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2172,Starlink-1194,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2173,Starlink-1195,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2174,Starlink-1196,2020-01-29,USA,Cape Canaveral,SpaceX,Communications,LEO,1.51,90.5,227
2175,Starlink-1197,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2176,Starlink-1198,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.2,227
2177,Starlink-1199,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2178,Starlink-1200,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.5,90.2,227
2179,Starlink-1201,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2180,Starlink-1202,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2181,Starlink-1203,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2182,Starlink-1204,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2183,Starlink-1205,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.1,227
2184,Starlink-1206,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
2185,Starlink-1207,2020-03-18,USA,Cape Canaveral,SpaceX,Communications,LEO,1.54,92.1,227
2186,Starlink-1208,2020-02-17,USA,Cape Canaveral,SpaceX,Communications,LEO,1.52,91.2,227
